"Sub-Brand","Sub-Brand"
"Husqvarna LC221A 21 in. 163cc Briggs & Stratton All-Wheel-Drive Walk Behind Mower","Husqvarna LC221A 21 in. 163cc Briggs & Stratton All-Wheel-Drive Walk Behind Mower"
"Husqvarna L221A 21 in. 160cc Honda All-Wheel-Drive Walk Behind Mower","Husqvarna L221A 21 in. 160cc Honda All-Wheel-Drive Walk Behind Mower"
"Husqvarna L321AHE, 21 in. 173cc Kohler AWD Gas Lawn Mower","Husqvarna L321AHE, 21 in. 173cc Kohler AWD Gas Lawn Mower"
"Lowe's Item #","Lowe's Item #"
"#632492","#632492"
"#806390","#806390"
"#757529","#757529"
"#953162","#953162"
"#953163","#953163"
"#538029","#538029"
"Ideal for Yard size","Ideal for Yard size"
"Up to ½ acre","Up to ½ acre"
"Up to ½ acre","Up to ½ acre"
"Up to ½ acre","Up to ½ acre"
"Up to 1/4 acre","Up to 1/4 acre"
"Up to 1/4 acre","Up to 1/4 acre"
"Up to ½ acre","Up to ½ acre"
"Engine","Engine"
"Honda","Honda"
"Honda","Honda"
"Honda","Honda"
"Honda","Honda"
"Briggs & Stratton","Briggs & Stratton"
"Briggs & Stratton","Briggs & Stratton"
"Engine displacement","Engine displacement"
"190cc","190cc"
"160cc","160cc"
"190cc","190cc"
"160cc","160cc"
"163cc","163cc"
"190cc","190cc"
"Engine Horsepower","Engine Horsepower"
"4 HP","4 HP"
"4 HP","4 HP"
"3.33 HP","3.33 HP"
"Cutting width","Cutting width"
"22 in.","22 in."
"21 in.","21 in."
"22 in.","22 in."
"21 in.","21 in."
"21 in.","21 in."
"22 in.","22 in."
"Drive type","Drive type"
"AWD","AWD"
"RWD","RWD"
"AWD","AWD"
"FWD","FWD"
"AWD","AWD"
"AWD","AWD"
"Self-propelled","Self-propelled"
"Foldable Handle","Foldable Handle"
"Cut Height Adjustment","Cut Height Adjustment"
"4-Point","4-Point"
"Dual-lever","Dual-lever"
"4-Point","4-Point"
"4-Point","4-Point"
"4-Point","4-Point"
"4-Point","4-Point"
"See product page Husqvarna HU800AWDH 22 in. 190cc Honda All-Wheel-Drive Walk Behind Mower","See product page Husqvarna HU800AWDH 22 in. 190cc Honda All-Wheel-Drive Walk Behind Mower"
